Type,ID,Height,Diameter,Leaf_length,Leaf_wide,Chlorophyll_content
control,T394,7,3.36,5.5,3.6,31.9
control,T394,6.5,2.81,4.5,3,34.9
control,T394,6.8,3.01,5,3.3,32
control,T394,5.6,3.01,4.7,3,33.5
control,T394,6.7,3.01,4.7,3,28.5
control,T395,10,2.94,4,2.5,30.4
control,T395,12,2.67,3.8,2.2,27.8
control,T395,11,2.57,3.8,2.4,28.8
control,T395,9.6,2.54,3.7,2.4,29.3
control,T395,10.2,2.67,3.5,2.2,27.6
control,T396,11,2.82,4.6,3.4,28
control,T396,12,2.99,5.3,4,26
control,T396,12,2.99,5.3,3.8,32.3
control,T396,12.5,3.59,5,3.6,30.3
control,T396,11.7,3.22,4.6,3.1,28.6
control,T397,8.2,2.99,4.5,3.2,32.6
control,T397,8.5,2.77,4.8,3.3,29.7
control,T397,8.5,2.91,5.2,3.8,32.3
control,T397,9.8,3.15,5.5,4.2,34.9
control,T397,8.3,3.44,5,3.8,31.4
control,T398,8,2.78,4.7,3,25.9
control,T398,8.5,2.82,4.8,3.4,30.3
control,T398,9.2,3.2,5.1,3.5,29.3
control,T398,8,2.69,4.7,3.1,29.9
control,T398,9,2.67,5.1,3.1,30.6
control,T399,6.5,2.79,3.5,2.5,30.4
control,T399,7,2.3,3.5,2,30.5
control,T399,5.5,2.74,3.8,2.1,29
control,T399,6,1.96,3.4,2.3,29.4
control,T399,6,2.41,3.4,2.2,30.2
control,T400,10,2.27,3.7,2,29.1
control,T400,10.5,2.87,4.5,2.8,28.6
control,T400,9.2,2.82,4.3,2.6,24
control,T400,9.7,2.69,4.3,2.6,27
control,T400,7,2.58,4,3,25.9
control,T401,8,2.85,5.2,3.7,29.7
control,T401,8,2.71,5.1,3.3,29.8
control,T401,8,2.74,5.5,3.5,30
control,T401,8.2,2.56,5.5,3.7,30.4
control,T401,7.8,2.31,5.4,3.5,31.4
control,T402,8,2.7,3.8,2.7,27
control,T402,8.1,2.64,3.3,2.2,28.8
control,T402,8.5,2.75,3.6,2.3,24.5
control,T402,8.2,3.08,4,2.6,21.7
control,T402,6.2,3.06,4,2.6,25.9
control,T403,5,3.09,5.5,3.9,31.1
control,T403,6,2.94,5.3,3.6,30.9
control,T403,5.8,3.26,5.5,4,30.9
control,T403,5.5,3.44,6,4,30.8
control,T403,5,3.35,5.3,3.8,33.2
control,T404,9.5,2.88,5,3.2,31.3
control,T404,10.2,3.11,5.3,3.5,34.7
control,T404,10.5,2.83,5.1,3.1,28.7
control,T404,10.6,3.16,5,3.3,31.5
control,T404,9,3.17,4.9,3.3,31.6
control,T405,7,3.08,5,3,24.1
control,T405,8.5,2.38,4.5,2.8,30
control,T405,8.7,2.45,4.7,3,35
control,T405,8,2.87,5.5,3.9,32.2
control,T405,8,3.14,4.9,3.4,33
control,T406,5,3.04,5.6,4,31.6
control,T406,5.3,2.16,5,3.3,33.3
control,T406,5.2,2.55,5.4,4,37.2
control,T406,5,2.55,5,3.5,33.5
control,T406,4.6,2.44,5,3.7,33.6
control,T407,7.5,2.43,4,2,28
control,T407,8,2.68,4,2.3,29.1
control,T407,9,2.35,4,2.3,25.2
control,T407,9.1,2.77,4,2.3,26.4
control,T407,8.8,2.88,4.7,2.7,30
control,T408,9,2.86,4,2.3,29.6
control,T408,7.5,2.38,4,2.2,29.4
control,T408,7.7,2.76,3.9,2.2,26.1
control,T408,9,3,4.2,2.4,24.3
control,T408,7.8,2.51,3.6,2.2,29
control,T409,4.6,2.99,4.6,3.3,30
control,T409,5,3.27,5,3.5,30.7
control,T409,5,2.5,4.3,3.1,31.6
control,T409,4.8,2.6,4.6,3.3,31.8
control,T409,5,2.41,4.5,3,29.9
control,T410,8.6,2.87,4.7,3.7,32.5
control,T410,7.5,3.06,5.2,3.7,32
control,T410,7.7,3.08,5.4,4,31.2
control,T410,7.9,2.92,5.2,3.5,29.9
control,T410,8.1,2.47,5.5,3.3,30.7
control,T411,4.6,3.23,6,4.2,30.5
control,T411,4.8,2.82,5.2,3.7,33.1
control,T411,4.7,2.78,5.1,3.5,30
control,T411,4.7,2.69,5.1,3.3,29.3
control,T411,4.7,2.77,5,3.1,33.6
control,T412,6.6,3.11,5.6,3.8,30.2
control,T412,8.6,2.46,4.5,3.2,30.7
control,T412,8,2.96,4.5,3.4,28.7
control,T412,7.5,2.86,5,3.8,29.9
control,T412,7.3,2.92,5.2,3.3,30.7
control,T413,8,2.6,4.7,2.4,26
control,T413,8,2.7,4.3,2.6,25.9
control,T413,8.4,2.69,4,2.3,28.4
control,T413,7.9,2.65,4.2,2.4,27.8
control,T413,8.1,2.6,4.2,2.3,26.5
control,T414,4.7,2.65,3.5,1.8,30.9
control,T414,4.8,2.64,3.8,2.3,30.4
control,T414,4.6,2.8,3.9,2.4,27.4
control,T414,4.9,2.6,3.7,2.3,32.8
control,T414,5,2.73,3.8,2.3,28.3
control,T415,8,3.33,5.5,4,26.6
control,T415,7.8,2.75,5.2,3.6,28.4
control,T415,9.5,3.2,5.5,3.5,32.2
control,T415,7.7,3.24,5.8,4,29.2
control,T415,7.6,2.87,6,3.9,31.6
control,T416,6.5,3.35,6,4.2,30.2
control,T416,6.3,3.02,6,3.3,31.1
control,T416,6.5,2.86,5.7,3.4,32.4
control,T416,8.7,3.24,4.5,3.3,31.5
control,T416,5,2.56,5.5,3.7,30.8
control,T417,7.1,3.52,6.5,4,29.3
control,T417,7,2.91,6,4,32.7
control,T417,6,2.92,5.2,3.5,33.3
control,T417,6,2.75,5,3.8,31.5
control,T417,5,3.16,5,3.3,34.6
control,T418,5.8,2.72,3.7,2.3,28.7
control,T418,6,2.8,3.7,2.4,30.3
control,T418,6,2.91,4,2.5,28.1
control,T418,5.5,2.57,3.7,2,30.6
control,T418,5.2,2.64,4,2,28.2
control,T419,7.5,2.2,3.7,2,31.9
control,T419,5,2.08,3.5,2.2,32.7
control,T419,6,1.98,3.5,2.1,36.1
control,T419,7,2.31,4,2.3,35.7
control,T419,6,2.13,4.1,2.2,36.3
control,T421,6,2.66,4.8,3.5,32.8
control,T421,5.5,2.62,5.7,3.3,31.3
control,T421,5.7,2.43,5.6,3.3,30.6
control,T421,5.2,2.48,6,3.3,30.2
control,T421,5.3,2.72,6.2,3.2,31.4
control,T423,6.2,3.29,5,3.1,30.9
control,T423,6.5,2.81,5,3,31.7
control,T423,5.5,4.29,5,3.3,30.9
control,T423,6,3.07,5,3.3,31.5
control,T423,6,3,5,3,28.7
control,T424,7.5,3.2,5.4,3,30.2
control,T424,8.5,3.01,5.4,3.2,30.7
control,T424,8.5,2.87,4.9,3.2,28.6
control,T424,7.5,2.63,5,3,30.4
control,T424,6.5,2.33,3.8,2.8,32.2
control,T425,5,2.86,5,3.2,31.4
control,T425,5,2.57,4.7,3.1,32.4
control,T425,5,2.69,4.5,3,32.3
control,T425,4,2.54,4.5,2.8,32
control,T425,4.5,2.52,4.8,3.1,30.6
control,T426,4.7,2.79,4.6,3.3,34.7
control,T426,4.6,2.67,4.6,3.2,36
control,T426,4.3,3.06,4.2,3.2,35.1
control,T426,4.4,2.82,4,3,35.1
control,T426,4,2.22,4.2,2.7,34.7
control,T427,5,3.17,4.8,3,31.1
control,T427,6,2.56,4.3,2.5,31.4
control,T427,5,2.46,4,2.5,32.4
control,T427,5,2.63,4.7,2.5,34.1
control,T427,4.5,2.24,3.8,2.3,34.4
control,T428,5,2.46,3.9,2.3,30.6
control,T428,4.5,2.5,3.1,2.5,29.8
control,T428,4.5,2.09,3.5,2.3,32
control,T428,4.5,2.48,3.3,2.2,29
control,T428,4.5,2.48,3.2,2,27.8
treat,T394,6,2.65,5.3,3.6,24.8
treat,T394,6.1,2.3,3.6,2.5,21.3
treat,T394,6.3,2.98,4.2,2.5,23.6
treat,T394,5.2,2.93,3.6,2.4,24
treat,T394,4.3,2.15,4,2.5,27.9
treat,T394,6,2.4,4.3,2.8,24.9
treat,T394,5.8,1.9,3.8,2.5,28.1
treat,T394,5.5,2.24,4.6,3.4,21.6
treat,T394,6,2.95,4.7,3.6,27.6
treat,T394,6.1,2.02,4,2.5,22.4
treat,T395,9,1.93,2.8,1.6,25.8
treat,T395,9.3,1.95,2.8,2,28.7
treat,T395,9,1.94,2.7,1.6,32
treat,T395,9.4,2.14,3.1,1.8,28.1
treat,T395,9,2.16,3.2,2,26
treat,T395,9.3,2.31,3,2,24.6
treat,T395,9.5,1.99,3,1.8,24.6
treat,T395,9,2.16,2.8,1.6,30.8
treat,T395,9.5,2.15,3,1.8,25.7
treat,T395,9.3,2.08,2.8,2,25.4
treat,T396,11,2.5,4.1,2.7,25.1
treat,T396,11,2.19,3.8,2.8,22.9
treat,T396,10,2.98,4,2.5,23.2
treat,T396,10.2,2.99,4,2.6,24.2
treat,T396,12,2.45,4.2,2.8,22.9
treat,T396,9,2.32,4.6,3.1,21.5
treat,T396,11.5,2.99,4.7,3.5,24.5
treat,T396,10,2.49,4.6,3,24.7
treat,T396,9.2,2.36,4.3,2.8,25.1
treat,T396,9.5,2.36,4.8,2.5,23.4
treat,T397,6,2.05,3.5,2.5,23.4
treat,T397,6,1.63,3.4,2.4,25.7
treat,T397,7.3,2.47,4.1,2.8,25.1
treat,T397,8.5,2.44,3.9,2.5,24.5
treat,T397,7.5,2.51,4.3,3,25.2
treat,T397,5.3,2.27,4,2.3,21.4
treat,T397,7.5,2.29,4.1,2.6,24.2
treat,T397,7.5,2.47,4.9,2.6,23.9
treat,T397,7.5,2.22,4.6,2.5,22.6
treat,T397,6.8,2.27,4.7,2.5,24
treat,T398,7.2,1.85,4.1,2.2,26.4
treat,T398,6.5,2.22,4.3,2.2,24.1
treat,T398,7.3,1.98,4.3,2.4,22.9
treat,T398,7.5,2.13,4.6,2.1,21.5
treat,T398,7.5,2.6,4.6,2.8,20.7
treat,T398,7,2.87,5.1,3,23.6
treat,T398,6.3,2.19,3.8,2.4,22.4
treat,T398,6,2.06,4.3,2.4,26
treat,T398,6.8,2.14,4.3,2.4,24.9
treat,T398,7,2.14,4.2,2.2,22.2
treat,T399,5,1.9,2.5,1.5,27.2
treat,T399,5,1.94,2.8,1.8,29.1
treat,T399,5.4,1.75,2.6,1.6,26.4
treat,T399,5,1.73,2.5,1.6,23
treat,T399,4.7,1.96,3,1.7,26.3
treat,T399,5.3,2.09,2.8,1.9,28.2
treat,T399,5.3,1.77,2.8,1.8,22.1
treat,T399,6,1.86,3,2,29.4
treat,T399,5.2,2.01,2.8,2,24.7
treat,T399,4.5,1.92,3.5,2.2,26.8
treat,T400,4.5,1.63,2.5,1.5,10.8
treat,T400,7,1.92,3,1.9,21.9
treat,T400,6.5,2.12,3.2,2,21.7
treat,T400,6,2.83,3,1.8,18.9
treat,T400,5.5,2.82,3.2,1.8,19.9
treat,T400,5.5,2.08,3,2,19.2
treat,T400,6.5,1.73,2.9,1.8,23.3
treat,T400,7,1.86,3,1.8,22.4
treat,T400,7.5,1.85,3,1.8,20.9
treat,T400,5,1.82,3,1.8,14.9
treat,T401,8,2.12,4.2,2.6,25.3
treat,T401,8,2.14,4.2,2.6,24.9
treat,T401,8,2.08,4.1,2.5,24.7
treat,T401,8.2,2.07,4.2,2.5,26.1
treat,T401,8,2.42,4.4,2.7,26.1
treat,T401,8.2,2.16,4.4,2.5,26.4
treat,T401,8.5,2.14,4.4,2.7,25.6
treat,T401,8.3,2.05,4.4,2.7,26.8
treat,T401,7.8,2.29,4.2,2.3,23.7
treat,T401,7.5,2.8,4.8,3.5,26.3
treat,T402,6.5,2.39,3.4,2.1,19.6
treat,T402,6,2.16,3.3,1.8,25
treat,T402,6,2.45,3.6,2,18.5
treat,T402,5,2.37,3.2,2,20.1
treat,T402,6.5,2.33,3.4,2.2,18.8
treat,T402,5,1.88,3.6,2.4,20.4
treat,T402,5.3,2.14,3.4,2,21.7
treat,T402,6,2.11,3.3,2.1,20.4
treat,T402,7,2.36,3.4,2.2,16.3
treat,T402,6.1,2.51,3.2,2,16.2
treat,T403,4.5,3.18,5,3.2,26.9
treat,T403,4,2.36,4.3,3,25.4
treat,T403,4.7,2.26,4.8,3,25.9
treat,T403,5,3.24,5,3.5,23.4
treat,T403,5,2.95,4.8,3,28.5
treat,T403,4.7,2.4,4.2,2.6,25.3
treat,T403,5,3.36,5.3,3.4,25.1
treat,T403,5,3.15,5,3.5,29.2
treat,T403,4.7,3.13,5.3,3.5,24.1
treat,T403,5,2.75,5.4,3.5,23.3
treat,T404,6,2.84,3.8,2.3,29.8
treat,T404,6.3,1.98,4,2.5,28.3
treat,T404,7,1.95,4,2.6,26.1
treat,T404,5.2,1.71,3.3,2,27
treat,T404,5.2,2.23,3.6,2.4,28.3
treat,T404,8,2.76,5,3,26.7
treat,T404,6.5,1.73,3.4,2,26.3
treat,T404,7.5,2.02,3.9,2.5,25.9
treat,T404,4.2,2.39,3.5,2.3,31.4
treat,T404,6.5,2.07,4,2.5,27.1
treat,T405,6.5,2.6,3.6,2.7,25.5
treat,T405,4,1.97,3.8,2.3,24.8
treat,T405,6,2.01,4.2,2.6,23.4
treat,T405,5,1.75,3.8,2.3,23.4
treat,T405,5,1.92,4.2,2.1,25.8
treat,T405,4.5,1.64,3.2,2,24.5
treat,T405,3,1.53,3,1.7,26.4
treat,T405,4,1.99,3,1.8,23.6
treat,T405,4.5,1.9,4,2.3,22.8
treat,T405,4.3,1.07,2.7,1.9,24.4
treat,T406,5,2.65,3.6,3.2,28.2
treat,T406,4,1.87,3.9,2.5,28.5
treat,T406,4,1.97,4.2,2.7,28.3
treat,T406,4.5,2.1,3.9,2.5,27.9
treat,T406,4,1.87,3.7,2.4,28.5
treat,T406,3.5,2.03,3.5,2.3,27.7
treat,T406,4.5,2.48,3.5,3.1,25.9
treat,T406,3.7,1.94,3.9,2.2,28
treat,T406,4.5,2.47,4,2.5,24.2
treat,T406,3.5,2.34,3.6,2.3,28
treat,T407,6,2.85,4.1,2.6,27.6
treat,T407,6.5,2.88,4,2.6,25.4
treat,T407,5.5,2.24,3.2,2,22.5
treat,T407,7.3,2.2,3,1.7,22.6
treat,T407,6.5,2.07,3.2,2,24.7
treat,T407,6,1.98,3,1.5,26.6
treat,T407,5.5,2.08,3,1.7,22.1
treat,T407,5.7,2.32,3.5,2.2,30.8
treat,T407,6,2.14,3.1,2,24.7
treat,T407,7,2.02,2.9,2,23.6
treat,T408,4,2.21,3,2,26.2
treat,T408,7.2,2.7,3.5,2,22.1
treat,T408,7.5,1.89,2.8,2,24.6
treat,T408,7.5,2.25,3,2,23.4
treat,T408,8,2.25,3.3,2,23.4
treat,T408,7.3,2.09,3.4,1.8,22.8
treat,T408,6.8,1.91,2.7,1.8,23.1
treat,T408,6.5,2.25,3,2,26.5
treat,T408,7,1.86,2.8,2.5,22.8
treat,T408,6,2.56,4.3,2,22.2
treat,T409,3,2.56,3.8,2.5,23.2
treat,T409,3.5,2.23,3.9,2.6,20.6
treat,T409,3.5,2.58,4,2.5,28.4
treat,T409,3.5,2.46,3.8,2.4,21.9
treat,T409,3,2.6,3.5,2.3,24.3
treat,T409,3,2.53,3.4,2.1,25.2
treat,T409,3.5,2.3,3.8,2.6,21.4
treat,T409,3.5,2.36,3.6,2.3,25.8
treat,T409,3,1.82,3.3,2,28.9
treat,T409,3,1.94,3.3,1.8,24.6
treat,T410,4.5,2.89,4.5,3,27.3
treat,T410,4.5,2.1,3.3,2,20.9
treat,T410,4.5,2.07,3.5,2.1,21.2
treat,T410,5,2.07,3.3,2.1,23.8
treat,T410,4,1.94,3.3,2,24.5
treat,T410,4.5,2.05,3.5,2.3,25.2
treat,T410,4.5,1.84,3.3,2,23.7
treat,T410,4,1.5,3.4,2.2,20.4
treat,T410,4.5,1.97,3.2,1.8,23.6
treat,T410,4,1.53,3.4,2,28.1
treat,T411,3,2.2,3.6,2.4,17.1
treat,T411,3,2.03,4,2.6,19.4
treat,T411,3,1.73,2.9,2.2,20.3
treat,T411,2.3,1.78,3,2,21.6
treat,T411,2.5,1.92,3.6,2.2,18.4
treat,T411,2.8,1.76,3.1,2,18.1
treat,T411,2.8,1.46,2.9,1.6,27.7
treat,T411,3,2.01,3.4,2,20.5
treat,T411,2,1.81,3,1.7,18.7
treat,T411,2,1.04,2.5,2,35
treat,T412,5.5,3.09,4.7,3,19.6
treat,T412,5.5,2.93,4.5,3,22.3
treat,T412,5.5,2.42,4.2,3,25
treat,T412,4.5,2.75,4.5,3,20.6
treat,T412,3.5,2.38,3.3,2.3,23.8
treat,T412,6,2.94,4.6,3.3,16.1
treat,T412,4,1.92,4,2.7,19.9
treat,T412,5,2.27,4,2.8,21.1
treat,T412,4.5,2.13,3.7,2.3,16.6
treat,T412,3.5,2.57,4.2,2.5,22.3
treat,T413,5.5,2.67,3.5,1.8,25.3
treat,T413,5,2.36,3.3,1.8,17
treat,T413,5,1.68,2.8,1.8,21.8
treat,T413,5.5,1.84,3.1,1.9,20.5
treat,T413,5,1.95,3.3,1.5,16.4
treat,T413,6,1.97,3,1.7,17.6
treat,T413,6,2.19,2.5,1.7,18.7
treat,T413,6.5,2.48,2.9,1.8,22.8
treat,T413,4,2.07,2.9,1.9,17.2
treat,T413,6,2.2,3.4,2,19.6
treat,T414,3.3,2.21,2.5,1.5,21
treat,T414,4.5,2.11,2.8,1.7,23.3
treat,T414,3.5,2.16,2.7,1.8,23.8
treat,T414,4.5,2.03,2.5,1.7,23.8
treat,T414,4.3,1.81,2.5,1.5,18.5
treat,T414,4,2.07,2.5,1.7,26.4
treat,T414,4,1.78,2.5,1.7,22.6
treat,T414,3.5,1.85,2.3,1.5,24.9
treat,T414,3.5,1.95,2.8,1.8,24.6
treat,T414,3.5,1.62,2.5,1.7,24.4
treat,T415,6.5,2.75,4.5,3.5,19
treat,T415,4.5,2.19,3.4,2.3,17.8
treat,T415,5,1.88,3.2,2,16.8
treat,T415,4.5,2.05,4,2.6,18.3
treat,T415,5,2.34,4,2.6,16.5
treat,T415,4.5,2.41,3.8,2.5,14.5
treat,T415,4.5,2.1,3.7,2.8,19.5
treat,T415,5,2.94,4.5,3.3,23.8
treat,T415,4.5,2.45,4.3,2.9,18.9
treat,T415,3.5,2.44,3.5,2.4,18.8
treat,T416,4.5,3.05,4.7,3.2,19
treat,T416,4.5,2.62,4.4,2.6,16.7
treat,T416,4,2.44,4.2,2.4,20.9
treat,T416,4,2.13,4,2.5,17.9
treat,T416,4.3,2.17,4.4,2.3,21.4
treat,T416,3,1.47,3.6,2,13.9
treat,T416,3,2.01,3.6,2.5,20
treat,T416,3.5,1.96,4,2.4,19.5
treat,T416,3.5,1.8,3.5,2.5,20.5
treat,T416,3,2.25,3.8,2.4,17
treat,T417,2.5,1.7,2.8,1.7,21.9
treat,T417,4,2.59,4,2.2,21.9
treat,T417,3.5,1.67,3,2,19.4
